time,rate
1981/7/31,1.7845
1981/8/3,1.7934
1981/8/4,1.8113
1981/8/5,1.8113
1981/8/6,1.8041
1981/8/7,1.8149
1981/8/10,1.8367
1981/8/11,1.8367
1981/8/12,1.8092
1981/8/13,1.8092
1981/8/14,1.8218
1981/8/17,1.8
1981/8/18,1.8
1981/8/19,1.791
1981/8/20,1.791
1981/8/21,1.773
1981/8/24,1.7872
1981/8/25,1.7997
1981/8/26,1.7853
1981/8/27,1.7853
1981/8/28,1.7727
1981/8/31,1.7727
1981/9/1,1.7815
1981/9/2,1.7815
1981/9/3,1.7673
1981/9/4,1.7673
1981/9/8,1.7673
1981/9/9,1.7796
1981/9/10,1.7686
1981/9/11,1.7689
1981/9/14,1.7565
1981/9/15,1.7319
1981/9/16,1.7319
1981/9/17,1.7233
1981/9/18,1.7233
1981/9/21,1.7233
1981/9/22,1.7181
1981/9/23,1.7404
1981/9/24,1.7492
1981/9/25,1.7579
1981/9/28,1.7667
1981/9/29,1.7614
1981/9/30,1.7719
1981/10/1,1.7719
1981/10/2,1.7719
1981/10/5,1.7525
1981/10/6,1.7525
1981/10/7,1.7507
1981/10/8,1.7366
1981/10/9,1.7297
1981/10/13,1.7297
1981/10/14,1.7383
1981/10/15,1.7383
1981/10/16,1.7506
1981/10/19,1.7505
1981/10/20,1.7505
1981/10/21,1.7575
1981/10/22,1.768
1981/10/23,1.768
1981/10/26,1.768
1981/10/27,1.7857
1981/10/28,1.7857
1981/10/29,1.7857
1981/10/30,1.7678
1981/11/2,1.7502
1981/11/4,1.7502
1981/11/5,1.7502
1981/11/6,1.7502
1981/11/9,1.7414
1981/11/10,1.7414
1981/11/12,1.7484
1981/11/13,1.7343
1981/11/16,1.7343
1981/11/17,1.743
1981/11/18,1.743
1981/11/19,1.7326
1981/11/20,1.743
1981/11/23,1.743
1981/11/24,1.743
1981/11/25,1.743
1981/11/27,1.7274
1981/11/30,1.7171
1981/12/1,1.7171
1981/12/2,1.724
1981/12/3,1.724
1981/12/4,1.724
1981/12/7,1.724
1981/12/8,1.724
1981/12/9,1.736
1981/12/10,1.736
1981/12/11,1.736
1981/12/14,1.7517
1981/12/15,1.7517
1981/12/16,1.7429
1981/12/17,1.7429
1981/12/18,1.7429
1981/12/21,1.7569
1981/12/22,1.7569
1981/12/23,1.7499
1981/12/24,1.7499
1981/12/28,1.7499
1981/12/29,1.7499
1981/12/30,1.7499
1981/12/31,1.7499
1982/1/4,1.7499
1982/1/5,1.7393
1982/1/6,1.7481
1982/1/7,1.7481
1982/1/8,1.7481
1982/1/11,1.7481
1982/1/12,1.7655
1982/1/13,1.7655
1982/1/14,1.7655
1982/1/15,1.7761
1982/1/18,1.7868
1982/1/19,1.7796
1982/1/20,1.7796
1982/1/21,1.7796
1982/1/22,1.7796
1982/1/25,1.7904
1982/1/26,1.7904
1982/1/27,1.7904
1982/1/28,1.7975
1982/1/29,1.7975
1982/2/1,1.7895
1982/2/2,1.8083
1982/2/3,1.8155
1982/2/4,1.8155
1982/2/5,1.8155
1982/2/8,1.8155
1982/2/9,1.8247
1982/2/10,1.8247
1982/2/11,1.825
1982/2/16,1.8247
1982/2/17,1.8247
1982/2/18,1.8338
1982/2/19,1.8227
1982/2/22,1.8136
1982/2/23,1.8136
1982/2/24,1.8282
1982/2/25,1.8282
1982/2/26,1.8355
1982/3/1,1.8447
1982/3/2,1.8447
1982/3/3,1.8355
1982/3/4,1.8335
1982/3/5,1.8263
1982/3/8,1.8171
1982/3/9,1.8171
1982/3/10,1.8299
1982/3/11,1.8229
1982/3/12,1.8335
1982/3/15,1.8335
1982/3/16,1.8335
1982/3/17,1.8426
1982/3/18,1.8426
1982/3/19,1.8426
1982/3/22,1.8518
1982/3/23,1.861
1982/3/24,1.8517
1982/3/25,1.8517
1982/3/26,1.8628
1982/3/29,1.8628
1982/3/30,1.8722
1982/3/31,1.8722
1982/4/1,1.8722
1982/4/2,1.8528
1982/4/5,1.8628
1982/4/6,1.8628
1982/4/7,1.8628
1982/4/8,1.8628
1982/4/9,1.8628
1982/4/12,1.8628
1982/4/13,1.8628
1982/4/14,1.8628
1982/4/15,1.8628
1982/4/16,1.8722
1982/4/19,1.8628
1982/4/20,1.8628
1982/4/21,1.8628
1982/4/22,1.8517
1982/4/23,1.8517
1982/4/26,1.8443
1982/4/27,1.8443
1982/4/28,1.8333
1982/4/29,1.8333
1982/4/30,1.8333
1982/5/3,1.8222
1982/5/4,1.8222
1982/5/5,1.8222
1982/5/6,1.8131
1982/5/7,1.7986
1982/5/10,1.7986
1982/5/11,1.7986
1982/5/12,1.7986
1982/5/13,1.7986
1982/5/14,1.813
1982/5/17,1.813
1982/5/18,1.813
1982/5/19,1.813
1982/5/20,1.813
1982/5/21,1.813
1982/5/24,1.813
1982/5/25,1.813
1982/5/26,1.813
1982/5/27,1.8239
1982/5/28,1.8331
1982/6/1,1.8331
1982/6/2,1.8514
1982/6/3,1.8514
1982/6/4,1.8514
1982/6/7,1.8514
1982/6/8,1.8625
1982/6/9,1.8756
1982/6/10,1.8756
1982/6/11,1.8868
1982/6/14,1.8755
1982/6/15,1.9074
1982/6/16,1.9074
1982/6/17,1.9226
1982/6/18,1.9322
1982/6/21,1.9322
1982/6/22,1.9477
1982/6/23,1.9477
1982/6/24,1.9398
1982/6/25,1.9398
1982/6/28,1.9515
1982/6/29,1.9515
1982/6/30,1.9358
1982/7/1,1.9358
1982/7/2,1.9358
1982/7/6,1.9358
1982/7/7,1.9552
1982/7/8,1.9552
1982/7/9,1.9552
1982/7/12,1.9395
1982/7/13,1.9395
1982/7/14,1.9395
1982/7/15,1.9395
1982/7/16,1.9395
1982/7/19,1.9298
1982/7/20,1.9298
1982/7/21,1.9298
1982/7/22,1.9086
1982/7/23,1.9086
1982/7/26,1.8857
1982/7/27,1.9026
1982/7/28,1.9026
1982/7/29,1.9312
1982/7/30,1.9312
1982/8/2,1.9312
1982/8/3,1.9196
1982/8/4,1.9292
1982/8/5,1.9446
1982/8/6,1.9525
1982/8/9,1.9661
1982/8/10,1.9661
1982/8/11,1.9661
1982/8/12,1.9661
1982/8/13,1.9661
1982/8/16,1.9661
1982/8/17,1.9661
1982/8/18,1.9661
1982/8/19,1.9484
1982/8/20,1.9328
1982/8/23,1.9193
1982/8/24,1.9193
1982/8/25,1.9078
1982/8/26,1.9173
1982/8/27,1.9173
1982/8/30,1.9326
1982/8/31,1.9501
1982/9/1,1.9501
1982/9/2,1.9501
1982/9/3,1.9305
1982/9/7,1.944
1982/9/8,1.944
1982/9/9,1.944
1982/9/10,1.944
1982/9/13,1.9577
1982/9/14,1.9577
1982/9/15,1.9577
1982/9/16,1.9577
1982/9/17,1.9577
1982/9/20,1.9577
1982/9/21,1.9577
1982/9/22,1.9479
1982/9/23,1.9577
1982/9/24,1.9675
1982/9/27,1.9675
1982/9/28,1.9832
1982/9/29,1.9832
1982/9/30,1.9733
1982/10/1,1.9733
1982/10/4,1.9753
1982/10/5,1.9931
1982/10/6,1.9931
1982/10/7,1.9931
1982/10/8,1.9632
1982/10/12,1.9612
1982/10/13,1.9612
1982/10/14,1.9729
1982/10/15,1.9827
1982/10/18,1.9827
1982/10/19,1.9947
1982/10/20,1.9947
1982/10/21,2.0046
1982/10/22,2.0046
1982/10/25,2.0046
1982/10/26,2.0046
1982/10/27,2.0046
1982/10/28,2.0046
1982/10/29,2.0046
1982/11/1,2.0046
1982/11/3,2.0046
1982/11/4,2.0046
1982/11/5,2.0046
1982/11/8,2.0046
1982/11/9,2.0046
1982/11/10,2.0046
1982/11/12,2.0046
1982/11/15,2.0046
1982/11/16,2.0046
1982/11/17,2.0046
1982/11/18,2.0046
1982/11/19,2.0046
1982/11/22,1.9906
1982/11/23,1.9906
1982/11/24,1.9906
1982/11/26,1.9906
1982/11/29,1.9906
1982/11/30,1.9906
1982/12/1,1.9687
1982/12/2,1.9687
1982/12/3,1.9569
1982/12/6,1.9569
1982/12/7,1.9412
1982/12/8,1.9412
1982/12/9,1.9412
1982/12/10,1.951
1982/12/13,1.951
1982/12/14,1.9646
1982/12/15,1.9509
1982/12/16,1.9509
1982/12/17,1.9372
1982/12/20,1.9372
1982/12/21,1.9372
1982/12/22,1.9372
1982/12/23,1.9372
1982/12/24,1.9372
1982/12/27,1.9372
1982/12/28,1.9372
1982/12/29,1.9275
1982/12/30,1.9275
1982/12/31,1.9275
1983/1/3,1.9275
1983/1/4,1.914
1983/1/5,1.914
1983/1/6,1.9044
1983/1/7,1.9044
1983/1/10,1.9044
1983/1/11,1.8949
1983/1/12,1.9082
1983/1/13,1.9082
1983/1/14,1.9082
1983/1/17,1.9082
1983/1/18,1.9082
1983/1/19,1.9234
1983/1/20,1.9368
1983/1/21,1.9368
1983/1/24,1.9504
1983/1/25,1.9621
1983/1/26,1.9464
1983/1/27,1.9464
1983/1/28,1.9464
1983/1/31,1.9464
1983/2/1,1.9639
1983/2/2,1.9717
1983/2/3,1.9717
1983/2/4,1.9796
1983/2/7,1.9796
1983/2/8,1.9658
1983/2/9,1.9658
1983/2/10,1.956
1983/2/11,1.956
1983/2/14,1.956
1983/2/15,1.956
1983/2/16,1.956
1983/2/17,1.956
1983/2/18,1.956
1983/2/22,1.956
1983/2/23,1.9735
1983/2/24,1.9736
1983/2/25,1.9736
1983/2/28,1.9736
1983/3/1,1.9914
1983/3/2,1.9914
1983/3/3,1.9814
1983/3/4,1.9814
1983/3/7,1.9676
1983/3/8,1.9676
1983/3/9,1.9774
1983/3/10,1.9774
1983/3/11,1.9675
1983/3/14,1.9812
1983/3/15,1.9674
1983/3/16,1.9674
1983/3/17,1.9674
1983/3/18,1.9792
1983/3/21,1.9792
1983/3/22,1.9892
1983/3/23,1.9892
1983/3/24,1.9991
1983/3/25,1.9991
1983/3/28,1.9991
1983/3/29,1.9991
1983/3/30,1.9991
1983/3/31,1.9991
1983/4/1,1.9991
1983/4/4,1.9991
1983/4/5,1.9991
1983/4/6,1.9991
1983/4/7,1.9991
1983/4/8,1.997
1983/4/11,1.997
1983/4/12,1.997
1983/4/13,1.997
1983/4/14,1.997
1983/4/15,1.997
1983/4/18,1.989
1983/4/19,1.9969
1983/4/20,1.9909
1983/4/21,1.9909
1983/4/22,1.9909
1983/4/25,1.9809
1983/4/26,1.9809
1983/4/27,1.9909
1983/4/28,1.9909
1983/4/29,1.9909
1983/5/2,1.9909
1983/5/3,1.9909
1983/5/4,1.9909
1983/5/5,1.9829
1983/5/6,1.9829
1983/5/9,1.9829
1983/5/10,1.9829
1983/5/11,1.9731
1983/5/12,1.9829
1983/5/13,1.9829
1983/5/16,1.9829
1983/5/17,1.9929
1983/5/18,1.9929
1983/5/19,1.9929
1983/5/20,1.9929
1983/5/23,1.9929
1983/5/24,1.9929
1983/5/25,1.9989
1983/5/26,1.9989
1983/5/27,1.9989
1983/5/31,1.9989
1983/6/1,1.9989
1983/6/2,1.9989
1983/6/3,1.9989
1983/6/6,1.9989
1983/6/7,1.9989
1983/6/8,1.9989
1983/6/9,1.9989
1983/6/10,1.9989
1983/6/13,1.9989
1983/6/14,1.9989
1983/6/15,1.9989
1983/6/16,1.9989
1983/6/17,1.9989
1983/6/20,1.9989
1983/6/21,1.9989
1983/6/22,1.9869
1983/6/23,1.9869
1983/6/24,1.9869
1983/6/27,1.9769
1983/6/28,1.9888
1983/6/29,1.9888
1983/6/30,1.9888
1983/7/1,1.9888
1983/7/5,1.9888
1983/7/6,1.9987
1983/7/7,1.9987
1983/7/8,1.9987
1983/7/11,1.9887
1983/7/12,1.9986
1983/7/13,1.9986
1983/7/14,1.9986
1983/7/15,1.9986
1983/7/18,1.9986
1983/7/19,1.9986
1983/7/20,1.9986
1983/7/21,1.9986
1983/7/22,1.9986
1983/7/25,1.9886
1983/7/26,1.9985
1983/7/27,1.9985
1983/7/28,1.9985
1983/7/29,1.9985
1983/8/1,1.9985
1983/8/2,1.9985
1983/8/3,1.9985
1983/8/4,1.9985
1983/8/5,1.9985
1983/8/8,1.9985
1983/8/9,1.9985
1983/8/10,1.9985
1983/8/11,1.9985
1983/8/12,1.9985
1983/8/15,1.9985
1983/8/16,1.9805
1983/8/17,1.9805
1983/8/18,1.9509
1983/8/19,1.9606
1983/8/22,1.9606
1983/8/23,1.9606
1983/8/24,1.9606
1983/8/25,1.9606
1983/8/26,1.9704
1983/8/29,1.9902
1983/8/30,1.9902
1983/8/31,1.9902
1983/9/1,1.9902
1983/9/2,1.9902
1983/9/6,1.9902
1983/9/7,1.9902
1983/9/8,1.9902
1983/9/9,1.9902
1983/9/12,1.9802
1983/9/13,1.9802
1983/9/14,1.9902
1983/9/15,1.9902
1983/9/16,1.9902
1983/9/19,1.9902
1983/9/20,1.9802
1983/9/21,1.9922
1983/9/22,1.9922
1983/9/23,1.9922
1983/9/26,1.9802
1983/9/27,1.9802
1983/9/28,1.9802
1983/9/29,1.9802
1983/9/30,1.9802
1983/10/3,1.9703
1983/10/4,1.9703
1983/10/5,1.9703
1983/10/6,1.9605
1983/10/7,1.9605
1983/10/11,1.9527
1983/10/12,1.9527
1983/10/13,1.9624
1983/10/14,1.9624
1983/10/17,1.9624
1983/10/18,1.9624
1983/10/19,1.9624
1983/10/20,1.9624
1983/10/21,1.9722
1983/10/24,1.9722
1983/10/25,1.9722
1983/10/26,1.9722
1983/10/27,1.9722
1983/10/28,1.9722
1983/10/31,1.984
1983/11/1,1.994
1983/11/2,1.994
1983/11/3,1.994
1983/11/4,1.994
1983/11/7,1.994
1983/11/9,1.994
1983/11/10,1.994
1983/11/14,1.994
1983/11/15,1.994
1983/11/16,1.994
1983/11/17,1.994
1983/11/18,1.994
1983/11/21,1.994
1983/11/22,1.994
1983/11/23,1.994
1983/11/25,1.994
1983/11/28,1.994
1983/11/29,1.994
1983/11/30,1.994
1983/12/1,1.986
1983/12/2,1.986
1983/12/5,1.986
1983/12/6,1.9939
1983/12/7,1.9939
1983/12/8,1.9939
1983/12/9,1.9939
1983/12/12,1.9939
1983/12/13,1.9939
1983/12/14,1.9939
1983/12/15,1.9939
1983/12/16,1.9939
1983/12/19,1.9939
1983/12/20,1.9939
1983/12/21,1.9939
1983/12/22,1.9939
1983/12/23,1.9939
1983/12/27,1.9939
1983/12/28,1.9939
1983/12/29,1.9859
1983/12/30,1.9859
1984/1/3,1.9859
1984/1/4,2.0057
1984/1/5,2.0157
1984/1/6,2.0259
1984/1/9,2.0259
1984/1/10,2.0461
1984/1/11,2.0461
1984/1/12,2.0461
1984/1/13,2.0461
1984/1/16,2.0461
1984/1/17,2.0461
1984/1/18,2.0563
1984/1/19,2.0563
1984/1/20,2.0563
1984/1/23,2.0667
1984/1/24,2.077
1984/1/25,2.077
1984/1/26,2.0666
1984/1/27,2.079
1984/1/30,2.079
1984/1/31,2.079
1984/2/1,2.079
1984/2/2,2.079
1984/2/3,2.0623
1984/2/6,2.0623
1984/2/7,2.0768
1984/2/8,2.0768
1984/2/9,2.0768
1984/2/10,2.0768
1984/2/14,2.0768
1984/2/15,2.0601
1984/2/16,2.0519
1984/2/17,2.0519
1984/2/21,2.0519
1984/2/22,2.0519
1984/2/23,2.0519
1984/2/24,2.0519
1984/2/27,2.0519
1984/2/28,2.0519
1984/2/29,2.0519
1984/3/1,2.0519
1984/3/2,2.0519
1984/3/5,2.0519
1984/3/6,2.0417
1984/3/7,2.0417
1984/3/8,2.0498
1984/3/9,2.0498
1984/3/12,2.0683
1984/3/13,2.0683
1984/3/14,2.0579
1984/3/15,2.0579
1984/3/16,2.0662
1984/3/19,2.0744
1984/3/20,2.0744
1984/3/21,2.0847
1984/3/22,2.0847
1984/3/23,2.0847
1984/3/26,2.0847
1984/3/27,2.0743
1984/3/28,2.0743
1984/3/29,2.0639
1984/3/30,2.0639
1984/4/2,2.0639
1984/4/3,2.0743
1984/4/4,2.0743
1984/4/5,2.0743
1984/4/6,2.0846
1984/4/9,2.0846
1984/4/10,2.0846
1984/4/11,2.0846
1984/4/12,2.0846
1984/4/13,2.0846
1984/4/16,2.0846
1984/4/17,2.0846
1984/4/18,2.0846
1984/4/19,2.0846
1984/4/20,2.1055
1984/4/23,2.1055
1984/4/24,2.1055
1984/4/25,2.1181
1984/4/26,2.1181
1984/4/27,2.1329
1984/4/30,2.1329
1984/5/1,2.1329
1984/5/2,2.1458
1984/5/3,2.1458
1984/5/4,2.1414
1984/5/7,2.1629
1984/5/8,2.1845
1984/5/9,2.1845
1984/5/10,2.1845
1984/5/11,2.1845
1984/5/14,2.1845
1984/5/15,2.1845
1984/5/16,2.1845
1984/5/17,2.1845
1984/5/18,2.2042
1984/5/21,2.2042
1984/5/22,2.2042
1984/5/23,2.2042
1984/5/24,2.2218
1984/5/25,2.2063
1984/5/29,2.2218
1984/5/30,2.2173
1984/5/31,2.2173
1984/6/1,2.2173
1984/6/4,2.193
1984/6/5,2.193
1984/6/6,2.193
1984/6/7,2.193
1984/6/8,2.193
1984/6/11,2.193
1984/6/12,2.2018
1984/6/13,2.2018
1984/6/14,2.2018
1984/6/15,2.2085
1984/6/18,2.2194
1984/6/19,2.2084
1984/6/20,2.2306
1984/6/21,2.2306
1984/6/22,2.2417
1984/6/25,2.2417
1984/6/26,2.2529
1984/6/27,2.2529
1984/6/28,2.2529
1984/6/29,2.2529
1984/7/2,2.2529
1984/7/3,2.2529
1984/7/5,2.271
1984/7/6,2.2869
1984/7/9,2.2869
1984/7/10,2.2869
1984/7/11,2.2869
1984/7/12,2.2869
1984/7/13,2.2983
1984/7/16,2.2983
1984/7/17,2.2914
1984/7/18,2.3028
1984/7/19,2.3028
1984/7/20,2.3028
1984/7/23,2.3144
1984/7/24,2.3259
1984/7/25,2.3259
1984/7/26,2.3166
1984/7/27,2.3258
1984/7/30,2.3374
1984/7/31,2.3374
1984/8/1,2.3444
1984/8/2,2.3327
1984/8/3,2.3327
1984/8/6,2.3211
1984/8/7,2.3211
1984/8/8,2.3559
1984/8/9,2.3441
1984/8/10,2.3306
1984/8/13,2.3767
1984/8/14,2.3625
1984/8/15,2.3625
1984/8/16,2.3625
1984/8/17,2.3625
1984/8/20,2.3625
1984/8/21,2.3837
1984/8/22,2.4088
1984/8/23,2.4028
1984/8/24,2.4028
1984/8/27,2.4028
1984/8/28,2.4196
1984/8/29,2.4196
1984/8/30,2.4196
1984/8/31,2.4196
1984/9/4,2.4414
1984/9/5,2.4732
1984/9/6,2.488
1984/9/7,2.488
1984/9/10,2.5216
1984/9/11,2.5342
1984/9/12,2.519
1984/9/13,2.5341
1984/9/14,2.5494
1984/9/17,2.5621
1984/9/18,2.6018
1984/9/19,2.6018
1984/9/20,2.6109
1984/9/21,2.6331
1984/9/24,2.5699
1984/9/25,2.539
1984/9/26,2.5746
1984/9/27,2.5746
1984/9/28,2.5746
1984/10/1,2.6055
1984/10/2,2.6055
1984/10/3,2.582
1984/10/4,2.6079
1984/10/5,2.6079
1984/10/9,2.6141
1984/10/10,2.6507
1984/10/11,2.6507
1984/10/12,2.672
1984/10/15,2.672
1984/10/16,2.7147
1984/10/17,2.7147
1984/10/18,2.7147
1984/10/19,2.6984
1984/10/22,2.6742
1984/10/23,2.6742
1984/10/24,2.6314
1984/10/25,2.6129
1984/10/26,2.6129
1984/10/29,2.6365
1984/10/30,2.6734
1984/10/31,2.6466
1984/11/1,2.6334
1984/11/2,2.5939
1984/11/5,2.5653
1984/11/7,2.5819
1984/11/8,2.5742
1984/11/9,2.6051
1984/11/13,2.6233
1984/11/14,2.647
1984/11/15,2.647
1984/11/16,2.6682
1984/11/19,2.6682
1984/11/20,2.7001
1984/11/21,2.7217
1984/11/23,2.7217
1984/11/26,2.7625
1984/11/27,2.7943
1984/11/28,2.7943
1984/11/29,2.7943
1984/11/30,2.7953
1984/12/3,2.7943
1984/12/4,2.7943
1984/12/5,2.7831
1984/12/6,2.7831
1984/12/7,2.7831
1984/12/10,2.7971
1984/12/11,2.7971
1984/12/12,2.7971
1984/12/13,2.7971
1984/12/14,2.7971
1984/12/17,2.7971
1984/12/18,2.7971
1984/12/19,2.7971
1984/12/20,2.7971
1984/12/21,2.7971
1984/12/24,2.7971
1984/12/26,2.7971
1984/12/27,2.7971
1984/12/28,2.8027
1984/12/31,2.8027
1985/1/2,2.8027
1985/1/3,2.8167
1985/1/4,2.8167
1985/1/7,2.8167
1985/1/8,2.8167
1985/1/9,2.8167
1985/1/10,2.8167
1985/1/11,2.8167
1985/1/14,2.8167
1985/1/15,2.8167
1985/1/16,2.8167
1985/1/17,2.8167
1985/1/18,2.8167
1985/1/22,2.8167
1985/1/23,2.8167
1985/1/24,2.8167
1985/1/25,2.8167
1985/1/28,2.8167
1985/1/29,2.8167
1985/1/30,2.8167
1985/1/31,2.8167
1985/2/1,2.8167
1985/2/4,2.8167
1985/2/5,2.8167
1985/2/6,2.8167
1985/2/7,2.8167
1985/2/8,2.8167
1985/2/11,2.8167
1985/2/13,2.8589
1985/2/14,2.8589
1985/2/15,2.8475
1985/2/19,2.8305
1985/2/20,2.8305
1985/2/21,2.8305
1985/2/22,2.8418
1985/2/25,2.8503
1985/2/26,2.8588
1985/2/27,2.8588
1985/2/28,2.8417
1985/3/1,2.8559
1985/3/4,2.8559
1985/3/5,2.8644
1985/3/6,2.8816
1985/3/7,2.8671
1985/3/8,2.8758
1985/3/11,2.8758
1985/3/12,2.8556
1985/3/13,2.8641
1985/3/14,2.8641
1985/3/15,2.8641
1985/3/18,2.8641
1985/3/19,2.847
1985/3/20,2.8356
1985/3/21,2.8469
1985/3/22,2.8385
1985/3/25,2.8384
1985/3/26,2.8384
1985/3/27,2.8327
1985/3/28,2.8269
1985/3/29,2.8269
1985/4/1,2.8269
1985/4/2,2.8439
1985/4/3,2.8439
1985/4/4,2.8552
1985/4/5,2.858
1985/4/8,2.858
1985/4/9,2.858
1985/4/10,2.8523
1985/4/11,2.8523
1985/4/12,2.8381
1985/4/15,2.8381
1985/4/16,2.8339
1985/4/17,2.8339
1985/4/18,2.8452
1985/4/19,2.831
1985/4/22,2.831
1985/4/23,2.8451
1985/4/24,2.8565
1985/4/25,2.8593
1985/4/26,2.868
1985/4/29,2.868
1985/4/30,2.8593
1985/5/1,2.8593
1985/5/2,2.8593
1985/5/3,2.8593
1985/5/6,2.8737
1985/5/7,2.8737
1985/5/8,2.8593
1985/5/9,2.8593
1985/5/10,2.8593
1985/5/13,2.8536
1985/5/14,2.8451
1985/5/15,2.8451
1985/5/16,2.868
1985/5/17,2.8451
1985/5/20,2.8451
1985/5/21,2.8451
1985/5/22,2.8451
1985/5/23,2.868
1985/5/24,2.8451
1985/5/28,2.8565
1985/5/29,2.8565
1985/5/30,2.8508
1985/5/31,2.8508
1985/6/3,2.8508
1985/6/4,2.8508
1985/6/5,2.865
1985/6/6,2.865
1985/6/7,2.865
1985/6/10,2.865
1985/6/11,2.865
1985/6/12,2.865
1985/6/13,2.865
1985/6/14,2.865
1985/6/17,2.865
1985/6/18,2.865
1985/6/19,2.8536
1985/6/20,2.8708
1985/6/21,2.8851
1985/6/24,2.8851
1985/6/25,2.8851
1985/6/26,2.8851
1985/6/27,2.8851
1985/6/28,2.8851
1985/7/1,2.8851
1985/7/2,2.8851
1985/7/3,2.8851
1985/7/5,2.8851
1985/7/8,2.8793
1985/7/9,2.8793
1985/7/10,2.8793
1985/7/11,2.8793
1985/7/12,2.8793
1985/7/15,2.8736
1985/7/16,2.8736
1985/7/17,2.8736
1985/7/18,2.8649
1985/7/19,2.8764
1985/7/22,2.885
1985/7/23,2.885
1985/7/24,2.885
1985/7/25,2.885
1985/7/26,2.885
1985/7/29,2.885
1985/7/30,2.885
1985/7/31,2.885
1985/8/1,2.885
1985/8/2,2.9051
1985/8/5,2.8993
1985/8/6,2.8993
1985/8/7,2.9081
1985/8/8,2.9081
1985/8/9,2.9081
1985/8/12,2.9081
1985/8/13,2.9081
1985/8/14,2.9081
1985/8/15,2.9081
1985/8/16,2.9081
1985/8/19,2.9081
1985/8/20,2.9081
1985/8/21,2.9168
1985/8/22,2.9168
1985/8/23,2.9168
1985/8/26,2.9168
1985/8/27,2.9168
1985/8/28,2.9168
1985/8/29,2.9168
1985/8/30,2.9168
1985/9/3,2.9372
1985/9/4,2.949
1985/9/5,2.949
1985/9/6,2.9608
1985/9/9,2.9697
1985/9/10,2.9786
1985/9/11,2.9786
1985/9/12,2.9786
